705.14,1.5258,5.34E-05
706.73,1.52562,2.70E-05
708.31,1.52555,0.000133561
709.89,1.52551,0.000176683
711.47,1.52542,0.000128757
713.05,1.52541,0.000102182
714.64,1.5253,0
716.22,1.52525,1.87E-05
717.8,1.52528,0.000285959
719.38,1.52532,0.000103653
720.96,1.52555,0.000110793
722.54,1.52571,9.26E-05
724.13,1.52578,0.000172553
725.71,1.52569,0.000137281
727.29,1.52563,0.000103256
728.87,1.52574,2.89E-05
730.45,1.52573,0.00013899
732.03,1.52572,0.000122421
733.61,1.52536,0.00018689
735.19,1.52509,0.0001217
736.77,1.52492,0.000192817
738.35,1.52476,0.000136018
739.93,1.52465,0.000171616
741.51,1.52463,0.000160531
743.09,1.52446,0.000212862
744.67,1.5243,0.000244605
746.25,1.5243,0.000146887
747.83,1.52423,0.000282441
749.41,1.52409,0.000268381
750.99,1.52396,0.000204645
752.57,1.52399,0.000134396
754.15,1.5238,0.000245451
755.73,1.52391,7.14E-05
757.3,1.52382,7.13E-05
758.88,1.52373,0.000278087
760.46,1.52371,0.000194442
762.04,1.52334,0.000271128
763.62,1.52341,0.000173874
765.2,1.52325,0.000448362
766.77,1.52311,0.000523556
768.35,1.52335,0
769.93,1.52309,0.000315361
771.51,1.52312,0.000300852
773.09,1.52308,0.000336966
774.66,1.52288,0.000568738
776.24,1.5227,0.000263667
777.82,1.52304,0.000106872
779.39,1.52264,0.00043842
780.97,1.52275,0.000228237
782.55,1.52281,0.000249
784.12,1.52258,7.55E-05
785.7,1.52277,0.000384667
787.28,1.5223,0.000312522
788.85,1.52261,7.50E-05
790.43,1.52242,0.000206638
792.01,1.52222,0.000150115
793.58,1.52213,0.000188745
795.16,1.52207,0.000145717
796.73,1.52212,1.90E-05
798.31,1.52209,0.000189637
799.88,1.52168,0.000211317
